t,N45,N32,N35,N36
0,0,0,0,0
15,34.7826087,43.73913043,35.47826087,51.39130435
30,49.30434783,64.26086957,55.91304348,69.13043478
45,59.30434783,73.56521739,62.60869565,77.82608696
60,68.52173913,80.86956522,70.26086957,84.17391304
75,72.86956522,82.34782609,72.86956522,88.52173913
90,76.86956522,85.65217391,75.39130435,92.17391304
105,80.34782609,88.43478261,78,95.39130435
120,83.56521739,90.69565217,78.17391304,97.39130435
150,86.86956522,90.95652174,80.7826087,97.73913043
180,89.2173913,90.43478261,80.86956522,97.82608696
210,90.08695652,92.52173913,80.43478261,98.43478261
